comp264 c1cnc2c(c1)oc(n2)N1C2CCN(CC1)CC2 0,
comp265 n1c(cc2c(c1N(C(=O)OC(C)(C)C)Cc1ccc(cc1OC)OC)ncn2C)N 2,
comp266 c1ncc2c(c1N)cccc2 2,
comp267 c1(ccccc1F)n1nnc2c1[nH]c(=O)cc2 15,
comp268 n1ccc2c(c1N)oc(c2)c1cccc2c1cnnc2 2,
comp269 n1ccc2c(c1N)oc(c2)c1cnc2n1ccnc2 2,
comp270 n1ccc2c(c1N)occ2 2,
comp271 n1ccc2c(c1N)oc(c2)c1csc2c1cnnc2 2,
comp272 n1ccc2c(c1N)oc(c2)c1csc2c1ccnc2 2,
comp273 n1ccc2c(c1N)oc(c2)c1cccc2c1scn2 2,
comp274 c1ccccc1C12CC(C1)(C2)c1ccccc1 14,2
comp275 n1c(nc2c(c1)ccn2C12CC(C1)C2)Cl 6,
comp276 c1cc(ccc1)CO/N=C(/C(=O)OC)\Cc1ccc(c(c1)Oc1ccc(cc1Br)C/C(=N\OCc1ccccc1)/C(=O)O)O 17,
comp277 c1(c(c(ccc1)N)C1=NOCC1)C 3,5,
comp278 C(=O)(N1Cc2n(C(C1)C(F)(F)F)nc(c2)c1ccc(c(c1)Cl)F)OC(C)(C)C 14,
comp279 c12n(c(nc1)C1CCCC(N1C(=O)OCc1ccccc1)C(F)(F)F)ccnc2Cl 4,
comp280 C1CC(CCO1)CNc1cc(nn2c1ncc2c1ccc(cc1)C(=O)NC1CC1)NC(C(F)(F)F)(C)C 9,
comp281 C1CC(CCO1)CN(c1cc(nn2c1ncc2)NC(C(F)(F)F)(C)C)C(=O)OC(C)(C)C 16,
comp283 c1cncc(n1)NC 1,3
comp284 c1cnc(c(n1)N)C1CC1 1,
comp285 c1cnc(c(n1)N)C 1,
comp286 c1cnc(c(n1)N)C(=O)N 1,
comp289 c1c(ncc(n1)N)C(=O)OCC 3,
comp290 c1c(ncc(n1)N)C1CCOCC1 3,
comp291 c1c(ncc(n1)N)CC(C)C 3,
comp292 c1cnc(c(n1)N)Cl 1,
comp293 c1cncc(n1)N1CCC1 1
comp296 c1(cccc(n1)N)F 1,
comp297 c1(cc(cc(n1)N)C(F)(F)F)C#N 1
comp298 c1cc(cc(n1)NC(=O)NC)F 1
comp300 c1cc(ccc1)COc1c(cnc2c1[nH]cc2)C1CC1 16,
comp301 c1(ccc2c(n1)cc[nH]2)C(=O)C 6,
comp302 c1c(nc2c(c1C#N)[nH]c(c2)c1ccnc(c1)NC(=O)C)Br 10,
comp303 c1(cnc2c(c1)[nH]c(c2)c1ccnc(c1)NC(=O)C)C#N 8,
comp304 c1c(cc2c(n1)cc(n2c1ccc(cc1)C#N)C)C(F)F 6,
comp305 c1cc(c2c(n1)cc[nH]2)C 6,
comp306 c1(ccc2c(n1)cc[nH]2)/N=C/N(C)C 6,
comp307 c1(ccc2c(n1)cc[nH]2)C 6,
comp308 c1c(cc2c(n1)ccn2CC1CCC(CC1)(F)F)Br 6,
comp309 c1c(cc2c(n1)ccn2CC1(CCC(CC1)(F)F)F)c1n(nnc1C)C 6,
comp310 c1(ccc2c(n1)cc[nH]2)c1c(cccc1)F 6,
comp311 c1cc(c2c(n1)ccn2CCOC)OC 6,
comp312 c1ccc2c(n1)cc[nH]2 6,
comp313 c1(cc(c2c(n1)cc([nH]2)C)NCc1c(cccc1C)C)C(=O)N(C)C 6,
